Hugo_Symbol,Feature_1,Feature_2,n_mutated_Feature1,n_mutated_Feature2,fdr
DICER1,REC,LNM,3 of 67,1 of 57,0.935775250017295
EWSR1,PT,LNM,4 of 77,1 of 57,0.935775250017295
EWSR1,REC,LNM,3 of 67,1 of 57,0.935775250017295
BIRC6,REC,LNM,12 of 67,8 of 57,0.944262646328651
BIRC6,REC,PT,12 of 67,10 of 77,0.944262646328651
EPHB1,PT,LNM,3 of 77,1 of 57,0.954483308647602
EPHB1,REC,LNM,3 of 67,1 of 57,0.954483308647602
HNF1A,PT,LNM,3 of 77,1 of 57,0.954483308647602
HNF1A,REC,LNM,3 of 67,1 of 57,0.954483308647602
LTK,PT,LNM,3 of 77,1 of 57,0.954483308647602
LTK,REC,LNM,3 of 67,1 of 57,0.954483308647602
FAT3,REC,LNM,11 of 67,12 of 57,0.965575036963606
FAT3,REC,PT,11 of 67,17 of 77,0.965575036963606
RAD54L,PT,LNM,2 of 77,3 of 57,0.975464719853463
RAD54L,REC,PT,4 of 67,2 of 77,0.975464719853463
BAP1,PT,LNM,2 of 77,3 of 57,0.975464719853463
BAP1,REC,LNM,1 of 67,3 of 57,0.975464719853463
KMT2B,PT,LNM,2 of 77,3 of 57,0.975464719853463
KMT2B,REC,LNM,1 of 67,3 of 57,0.975464719853463
GRIN2A,PT,LNM,2 of 77,3 of 57,0.990630434043391
GRIN2A,REC,LNM,2 of 67,3 of 57,0.990630434043391
NOTCH1,PT,LNM,2 of 77,3 of 57,0.995638931790415
NOTCH1,REC,PT,3 of 67,2 of 77,0.995638931790415
IL6,REC,LNM,3 of 67,1 of 57,0.995638931790415
IL6,REC,PT,3 of 67,2 of 77,0.995638931790415
FLT4,PT,LNM,7 of 77,6 of 57,1
FLT4,REC,LNM,8 of 67,6 of 57,1
FLT4,REC,PT,8 of 67,7 of 77,1
CIC,REC,LNM,8 of 67,6 of 57,1
NOTCH4,REC,LNM,6 of 67,5 of 57,1
BRCA1,PT,LNM,5 of 77,3 of 57,1
NTRK1,PT,LNM,6 of 77,3 of 57,1
NTRK1,REC,LNM,3 of 67,3 of 57,1
NTRK1,REC,PT,3 of 67,6 of 77,1
NSD1,PT,LNM,5 of 77,3 of 57,1
NSD1,REC,LNM,3 of 67,3 of 57,1
NSD1,REC,PT,3 of 67,5 of 77,1
SLIT2,PT,LNM,5 of 77,3 of 57,1
SLIT2,REC,LNM,3 of 67,3 of 57,1
SLIT2,REC,PT,3 of 67,5 of 77,1
TERT,PT,LNM,5 of 77,3 of 57,1
TERT,REC,LNM,3 of 67,3 of 57,1
TERT,REC,PT,3 of 67,5 of 77,1
ROS1,PT,LNM,3 of 77,2 of 57,1
ETV4,PT,LNM,3 of 77,2 of 57,1
NOTCH1,REC,LNM,3 of 67,3 of 57,1
CHD2,REC,LNM,3 of 67,3 of 57,1
AXL,PT,LNM,3 of 77,2 of 57,1
C11orf30,PT,LNM,3 of 77,2 of 57,1
CSF2RB,PT,LNM,3 of 77,2 of 57,1
IGF2,PT,LNM,3 of 77,2 of 57,1
IL6,PT,LNM,2 of 77,1 of 57,1
MDM4,PT,LNM,3 of 77,2 of 57,1
PREX2,PT,LNM,3 of 77,2 of 57,1
TGFB2,PT,LNM,3 of 77,2 of 57,1
PKHD1,PT,LNM,21 of 77,16 of 57,1
FAT3,PT,LNM,17 of 77,12 of 57,1
LRP1B,PT,LNM,13 of 77,10 of 57,1
BIRC6,PT,LNM,10 of 77,8 of 57,1
FAT1,REC,PT,11 of 67,12 of 77,1
ASXL1,PT,LNM,11 of 77,8 of 57,1
ASXL1,REC,LNM,8 of 67,8 of 57,1
